name,hp,hp_defense,upgrade_hp,atk,upgrade_atk,type_label,unit_type,atk_type,flag
scv,45,0,1,{'':5},{'':0},"['轻甲','生物单位','机械单位']",['地面'],['地面'],1
marine,45,0,1,{'':6},{'':1},"['轻甲','生物单位']",['地面'],"['地面','天空']",2
marine(带盾),55,0,1,{'':6},{'':1},"['轻甲','生物单位']",['地面'],"['地面','天空']",3
收割者,60,0,1,{'':4},{'':1},"['轻甲','生物单位']",['地面'],['地面'],4
劫掠者,125,1,1,"{'':10,'重甲':20}","{'':1,'重甲':2}","['重甲','生物单位']",['地面'],['地面'],5
ghost,100,0,1,"{'':10,'轻甲':20}","{'':1,'轻甲':2}","['生物单位','灵能单位']",['地面'],"['地面','天空']",6
恶火,90,0,1,"{'':8,'轻甲':14}","{'':1,'轻甲':2}","['轻甲','机械单位']",['地面'],['地面'],7
恶火(蓝火),90,0,1,"{'':8,'轻甲':19}","{'':1,'轻甲':2}","['轻甲','机械单位']",['地面'],['地面'],7
恶幅,135,0,1,"{'':18,'轻甲':18}","{'':2,'轻甲':3}","['轻甲','生物单位','机械单位']",['地面'],['地面'],8
恶幅(蓝火),135,0,1,"{'':30,'轻甲':30}","{'':2,'轻甲':3}","['轻甲','生物单位','机械单位']",['地面'],['地面'],8
寡妇雷,90,0,1,"{'':125,'shield':35}","{'':0,'shield':0}","['轻甲','机械单位']",['地面'],"['地面','天空']",9
寡妇雷(溅射),90,0,1,"{'':40,'shield':25}","{'':0,'shield':0}","['轻甲','机械单位']",['地面'],"['地面','天空']",9
攻城坦克,175,1,1,"{'':15,'重甲':25}","{'':2,'重甲':3}","['重甲','机械单位']",['地面'],['地面'],10
攻城坦克(架起),175,1,1,"{'':40,'重甲':70}","{'':4,'重甲':5}","['重甲','机械单位']",['地面'],['地面'],10
攻城坦克(0.7812半径溅射),175,1,1,"{'':20,'重甲':35}","{'':2,'重甲':2.5}","['重甲','机械单位']",['地面'],['地面'],10
攻城坦克(1.25半径溅射),175,1,1,"{'':10,'重甲':12.5}","{'':1,'重甲':1.25}","['重甲','机械单位']",['地面'],['地面'],10
导弹车,120,1,1,{'':18},{'':2},"['重甲','机械单位']",['地面'],"['地面','天空']",11
导弹车(技能),120,1,1,"{'':20,'重甲':40,'shield':0}",{'':0},"['重甲','机械单位']",['地面'],"['地面','天空']",11
雷神(对地),400,1,1,{'':30},{'':3},"['重甲','机械单位','重型单位']",['地面'],['地面'],12
雷神(对空),400,1,1,"{'':6,'轻甲':12}","{'':1,'轻甲':2}","['重甲','机械单位','重型单位']",['地面'],['天空'],12
自动炮塔,150,1,0,{'':18},{'':0},"['重甲','机械单位','建筑','召唤']",['地面'],"['地面','天空']",13
维京(落地),135,0,1,"{'':12,'机械单位':20}","{'':1,'机械单位':2}","['重甲','机械单位']",['地面'],['地面'],14
维京,135,0,1,"{'':10,'重甲':14}","{'':1,'重甲':1}","['重甲','机械单位']",['天空'],['天空'],15
医疗运输机,150,1,1,{'':0},{'':0},"['重甲','机械单位']",['天空'],[''],16
女妖,140,0,1,{'':12},{'':1},"['轻甲','机械单位']",['天空'],['地面'],17
解放者,180,0,1,{'':5},{'':1},"['重甲','机械单位']",['天空'],['天空'],18
解放者(架起),180,0,1,{'':75},{'':5},"['重甲','机械单位']",['天空'],['地面'],18
渡鸦,140,1,1,{'':0},{'':0},"['轻甲','机械单位']",['天空'],[''],19
战列巡洋舰(对空),550,3,1,{'':5},{'':1},"['重甲','机械单位','重型单位']",['天空'],['天空'],20
战列巡洋舰(对地),550,3,1,{'':8},{'':1},"['重甲','机械单位','重型单位']",['天空'],['地面'],20
导弹塔,250,0,0,{'':12},{'':0},"['重甲','机械单位','建筑']",['地面'],['天空'],21
导弹塔(加强甲),250,2,0,{'':12},{'':0},"['重甲','机械单位','建筑']",['地面'],['天空'],22
