name,hp,hp_defense,upgrade_hp,atk,upgrade_atk,type_label
scv,45,0,1,{'':5},{'':0},"['轻甲','生物单位','机械单位']"
marine,45,0,1,{'':6},{'':0},"['轻甲','生物单位']"
marine(带盾),55,0,1,{'':6},{'':1},"['轻甲','生物单位']"
收割者,60,0,1,{'':4},{'':1},"['轻甲','生物单位']"
劫掠者,125,1,1,"{'':10,'重甲':20}","{'':1,'重甲':2}","['重甲','生物单位']"
ghost,100,0,1,"{'':10,'轻甲':20}","{'':1,'轻甲':2}","['生物单位','灵能单位']"
恶火,90,0,1,"{'':8,'轻甲':14}","{'':1,'轻甲':2}","['轻甲','机械单位']"
恶火(蓝火),90,0,1,"{'':8,'轻甲':19}","{'':1,'轻甲':2}","['轻甲','机械单位']"
恶幅,135,0,1,"{'':18,'轻甲':18}","{'':2,'轻甲':3}","['轻甲','生物单位','机械单位']"
恶幅(蓝火),135,0,1,"{'':30,'轻甲':30}","{'':2,'轻甲':3}","['轻甲','生物单位','机械单位']"
寡妇雷,90,0,1,"{'':125,'shield':35}","{'':0,'shield':0}","['轻甲','机械单位']"
寡妇雷(溅射),90,0,1,"{'':40,'shield':25}","{'':0,'shield':0}","['轻甲','机械单位']"
攻城坦克,175,1,1,"{'':15,'重甲':25}","{'':2,'重甲':3}","['重甲','机械单位']"
攻城坦克(架起),175,1,1,"{'':40,'重甲':70}","{'':4,'重甲':5}","['重甲','机械单位']"
导弹车,120,1,1,{'':18},{'':2},"['重甲','机械单位']"
导弹车(技能),120,1,1,"{'':20,'重甲':40,'shield':0}",{'':0},"['重甲','机械单位']"
雷神(对地),400,1,1,{'':30},{'':3},"['重甲','机械单位','重型单位']"
雷神(对空),400,1,1,"{'':6,'轻甲':12}","{'':1,'轻甲':2}","['重甲','机械单位','重型单位']"
自动炮塔,150,1,0,{'':18},{'':0},"['重甲','机械单位','建筑','召唤']"
维京(落地),135,0,1,"{'':12,'机械单位':20}","{'':1,'机械单位':2}","['重甲','机械单位']"
维京,135,0,1,"{'':10,'重甲':14}","{'':1,'重甲':1}","['重甲','机械单位']"
医疗运输机,150,1,1,{'':0},{'':0},"['重甲','机械单位']"
女妖,140,0,1,{'':12},{'':1},"['轻甲','机械单位']"
解放者,180,0,1,{'':5},{'':1},"['重甲','机械单位']"
解放者(架起),180,0,1,{'':75},{'':5},"['重甲','机械单位']"
渡鸦,140,1,1,{'':0},{'':0},"['轻甲','机械单位']"
战列巡洋舰(对空),550,3,1,{'':5},{'':1},"['重甲','机械单位','重型单位']"
战列巡洋舰(对地),550,3,1,{'':8},{'':1},"['重甲','机械单位','重型单位']"
